couple	bande	mod	date	session	ini	restant	predates	tx_pred	annee	code2	code3
7	BF	20m	24/8/17	2	10	0	10	1	2017	7BF20m	7BF
7	BF	20m	24/8/17	2	10	10	0	0	2017	7BF20m	7BF
7	BF	20m	24/8/17	2	10	9	1	0.1	2017	7BF20m	7BF
8	BE	00m	22/8/17	2	10	10	0	0	2017	8BE00m	8BE
8	BE	00m	22/8/17	2	10	10	0	0	2017	8BE00m	8BE
8	BE	00m	22/8/17	2	10	10	0	0	2017	8BE00m	8BE
8	BE	00m	22/8/17	2	10	1	9	0.9	2017	8BE00m	8BE
8	BE	05m	22/8/17	2	10	10	0	0	2017	8BE05m	8BE
8	BE	05m	22/8/17	2	10	9	1	0.1	2017	8BE05m	8BE
8	BE	05m	22/8/17	2	10	10	0	0	2017	8BE05m	8BE
8	BE	05m	22/8/17	2	10	0	10	1	2017	8BE05m	8BE
8	BE	20m	22/8/17	2	10	0	10	1	2017	8BE20m	8BE
8	BE	20m	22/8/17	2	10	0	10	1	2017	8BE20m	8BE
8	BE	20m	22/8/17	2	10	6	4	0.4	2017	8BE20m	8BE
8	BE	20m	22/8/17	2	10	0	10	1	2017	8BE20m	8BE
8	BF	00m	22/8/17	2	10	0	10	1	2017	8BF00m	8BF
8	BF	00m	22/8/17	2	10	10	0	0	2017	8BF00m	8BF
8	BF	00m	22/8/17	2	10	0	10	1	2017	8BF00m	8BF
8	BF	00m	22/8/17	2	10	10	0	0	2017	8BF00m	8BF
8	BF	05m	22/8/17	2	10	0	10	1	2017	8BF05m	8BF
8	BF	05m	22/8/17	2	10	0	10	1	2017	8BF05m	8BF
8	BF	05m	22/8/17	2	10	0	10	1	2017	8BF05m	8BF
8	BF	05m	22/8/17	2	10	0	10	1	2017	8BF05m	8BF
8	BF	20m	22/8/17	2	10	1	9	0.9	2017	8BF20m	8BF
8	BF	20m	22/8/17	2	10	0	10	1	2017	8BF20m	8BF
8	BF	20m	22/8/17	2	10	0	10	1	2017	8BF20m	8BF
8	BF	20m	22/8/17	2	10	10	0	0	2017	8BF20m	8BF
2	BE	00m	21/9/17	3	10	9	1	0.1	2017	2BE00m	2BE
2	BE	00m	21/9/17	3	10	10	0	0	2017	2BE00m	2BE
2	BE	00m	21/9/17	3	10	9	1	0.1	2017	2BE00m	2BE
2	BE	00m	21/9/17	3	10	7	3	0.3	2017	2BE00m	2BE
2	BE	05m	21/9/17	3	10	9	1	0.1	2017	2BE05m	2BE
2	BE	05m	21/9/17	3	10	0	10	1	2017	2BE05m	2BE
2	BE	05m	21/9/17	3	10	9	1	0.1	2017	2BE05m	2BE
2	BE	20m	21/9/17	3	10	8	2	0.2	2017	2BE20m	2BE
2	BE	20m	21/9/17	3	10	9	1	0.1	2017	2BE20m	2BE
2	BE	20m	21/9/17	3	10	2	8	0.8	2017	2BE20m	2BE
2	BE	20m	21/9/17	3	10	8	2	0.2	2017	2BE20m	2BE
2	BF	00m	21/9/17	3	10	3	7	0.7	2017	2BF00m	2BF
2	BF	00m	21/9/17	3	10	5	5	0.5	2017	2BF00m	2BF
2	BF	00m	21/9/17	3	10	0	10	1	2017	2BF00m	2BF
2	BF	00m	21/9/17	3	10	4	6	0.6	2017	2BF00m	2BF
2	BF	05m	21/9/17	3	10	5	5	0.5	2017	2BF05m	2BF
2	BF	05m	21/9/17	3	10	10	0	0	2017	2BF05m	2BF
2	BF	05m	21/9/17	3	10	8	2	0.2	2017	2BF05m	2BF
2	BF	05m	21/9/17	3	10	8	2	0.2	2017	2BF05m	2BF
2	BF	20m	21/9/17	3	10	4	6	0.6	2017	2BF20m	2BF
2	BF	20m	21/9/17	3	10	9	1	0.1	2017	2BF20m	2BF
2	BF	20m	21/9/17	3	10	0	10	1	2017	2BF20m	2BF
2	BF	20m	21/9/17	3	10	2	8	0.8	2017	2BF20m	2BF
3	BE	00m	29/9/17	3	10	5	5	0.5	2017	3BE00m	3BE
3	BE	00m	29/9/17	3	10	4	6	0.6	2017	3BE00m	3BE
3	BE	00m	29/9/17	3	10	0	10	1	2017	3BE00m	3BE
3	BE	00m	29/9/17	3	10	2	8	0.8	2017	3BE00m	3BE
3	BE	05m	29/9/17	3	10	10	0	0	2017	3BE05m	3BE
